a0,a1,a2,a3,a4,a0_f1,a0_f2,a0_f3,a0_f4,a0_f5,a0_f6,a0_f7,a0_f8,a1_f1,a1_f2,a1_f3,a1_f4,a1_f5,a1_f6,a1_f7,a1_f8,a2_f1,a2_f2,a2_f3,a2_f4,a2_f5,a2_f6,a2_f7,a2_f8,a3_f1,a3_f2,a3_f3,a3_f4,a3_f5,a3_f6,a3_f7,a3_f8,a4_f1,a4_f2,a4_f3,a4_f4,a4_f5,a4_f6,a4_f7,a4_f8,a0_rms,a0_mav,a0_wl,a0_zc,a0_ssc,a0_wamp,a1_rms,a1_mav,a1_wl,a1_zc,a1_ssc,a1_wamp,a2_rms,a2_mav,a2_wl,a2_zc,a2_ssc,a2_wamp,a3_rms,a3_mav,a3_wl,a3_zc,a3_ssc,a3_wamp,a4_rms,a4_mav,a4_wl,a4_zc,a4_ssc,a4_wamp,label,action_name
31.62,6.94,30.12,38.56,-0.38,305.43,81.45,40.05,115.80,76.15,56.59,45.22,32.00,292.94,179.96,46.77,98.27,45.18,33.12,31.52,73.00,197.60,43.52,36.63,51.88,70.13,29.69,28.35,38.00,380.64,196.86,22.22,100.70,93.45,2.50,54.06,117.00,37.59,13.34,12.94,19.24,13.25,9.50,9.18,8.00,31.44,27.88,209.00,3.00,7.00,8.00,32.70,28.79,193.00,1.00,3.00,10.00,20.21,18.25,103.00,1.00,3.00,5.00,40.77,37.20,203.00,1.00,7.00,10.00,4.43,3.67,58.00,3.00,6.00,0.00,0,휴식 (Relax)
11.69,23.62,4.88,11.88,-3.06,289.02,96.60,61.35,58.25,49.05,19.43,72.28,31.00,233.83,185.18,88.07,23.71,100.89,52.55,66.99,12.00,188.61,59.32,52.13,26.00,49.78,16.30,12.56,2.00,341.75,217.15,53.17,54.92,88.09,76.54,23.55,42.00,39.73,14.91,11.24,19.10,10.66,5.97,6.48,13.00,29.12,25.40,217.00,3.00,7.00,9.00,29.95,24.44,205.00,1.00,4.00,10.00,18.83,16.61,121.00,1.00,4.00,6.00,38.00,32.83,225.00,1.00,8.00,11.00,4.48,3.70,54.00,2.00,6.00,0.00,0,휴식 (Relax)
0.75,-31.69,2.94,-23.75,-3.19,267.37,98.42,66.90,50.00,14.46,55.90,29.93,16.00,216.00,176.25,105.74,11.00,86.18,38.66,53.34,9.00,174.31,66.03,49.62,12.21,33.38,15.17,19.86,33.00,311.54,206.95,81.04,15.62,46.13,54.40,18.45,84.00,39.56,13.01,13.19,17.12,8.66,4.08,5.49,15.00,26.88,22.19,210.00,3.00,6.00,8.00,28.07,22.47,259.00,2.00,5.00,11.00,17.60,14.80,116.00,1.00,3.00,6.00,34.87,29.22,258.00,2.00,8.00,12.00,4.36,3.61,47.00,1.00,6.00,0.00,0,휴식 (Relax)
-31.25,-52.69,-13.69,-65.75,-6.62,267.37,98.42,66.90,50.00,14.46,55.90,29.93,16.00,216.00,176.25,105.74,11.00,86.18,38.66,53.34,9.00,167.33,63.50,41.91,21.19,43.23,12.55,13.14,23.00,311.54,206.95,81.04,15.62,46.13,54.40,18.45,84.00,37.57,21.50,10.95,18.38,9.48,5.44,6.54,24.00,26.88,22.19,219.00,4.00,5.00,8.00,28.07,22.47,270.00,2.00,4.00,11.00,16.93,14.02,122.00,2.00,3.00,6.00,34.87,29.22,290.00,2.00,7.00,12.00,4.66,3.88,48.00,5.00,5.00,0.00,0,휴식 (Relax)
-25.19,-61.44,-19.62,-74.50,0.69,238.90,69.17,38.43,50.92,23.03,72.37,2.34,47.00,235.62,194.92,125.13,22.83,66.29,23.73,52.73,11.00,153.79,51.88,28.82,21.54,37.72,9.43,20.80,38.00,331.54,226.75,100.84,12.81,36.17,35.38,14.89,64.00,35.44,24.40,15.84,13.89,4.69,2.62,5.90,19.00,23.85,20.06,219.00,2.00,6.00,8.00,30.30,24.34,270.00,2.00,3.00,11.00,15.39,12.84,127.00,2.00,3.00,6.00,37.13,30.94,280.00,2.00,6.00,12.00,4.45,3.56,52.00,6.00,5.00,0.00,0,휴식 (Relax)
-48.19,-70.19,-20.56,-83.88,-7.62,238.90,69.17,38.43,50.92,23.03,72.37,2.34,47.00,252.60,204.21,137.73,36.89,74.20,43.54,60.56,9.00,138.83,36.88,35.42,9.43,26.59,19.24,18.97,23.00,340.89,232.94,106.15,21.54,46.13,44.78,9.56,74.00,28.90,25.93,23.65,12.65,11.83,9.16,8.58,30.00,23.85,20.06,227.00,2.00,7.00,8.00,32.71,26.22,227.00,1.00,3.00,11.00,13.60,11.67,107.00,2.00,3.00,5.00,38.44,31.80,227.00,2.00,6.00,12.00,4.82,3.83,58.00,7.00,6.00,0.00,0,휴식 (Relax)
-25.69,-75.00,-10.88,-69.94,-3.00,231.41,66.43,46.24,48.84,21.80,66.77,10.27,55.00,309.54,199.82,127.06,70.21,140.67,56.32,48.60,74.00,134.08,33.61,40.27,5.83,31.44,14.50,16.37,28.00,389.44,235.12,89.04,58.52,58.88,58.14,68.50,11.00,22.09,23.57,23.71,22.36,15.61,8.97,8.63,20.00,23.22,19.56,218.00,2.00,7.00,8.00,38.00,33.00,204.00,1.00,3.00,11.00,13.29,11.28,112.00,2.00,3.00,6.00,42.38,37.21,204.00,1.00,7.00,12.00,4.60,3.50,59.00,7.00,7.00,0.00,0,휴식 (Relax)
-39.19,-58.38,-15.56,-63.94,-2.19,261.90,59.22,40.92,12.04,21.93,26.90,49.83,95.00,369.52,161.82,70.34,97.95,95.13,54.06,99.28,32.00,137.89,33.34,39.78,3.00,32.64,13.35,13.19,33.00,446.47,195.98,41.74,93.81,47.86,37.94,35.29,107.00,13.34,16.62,15.04,23.77,5.21,4.66,7.26,33.00,25.33,22.16,226.00,2.00,8.00,9.00,39.49,36.16,214.00,1.00,4.00,12.00,13.60,11.67,117.00,2.00,4.00,6.00,44.98,41.45,204.00,1.00,7.00,12.00,3.84,2.76,59.00,7.00,7.00,0.00,0,휴식 (Relax)
-37.19,-61.12,-24.62,-67.31,5.19,279.31,47.67,72.90,24.35,39.19,55.76,25.47,63.00,421.89,105.96,57.82,91.84,43.73,73.16,18.84,84.00,145.50,25.39,53.78,12.00,45.09,11.64,26.82,18.00,491.44,122.06,81.79,91.53,74.77,81.94,71.38,1.00,9.90,11.83,9.05,18.36,4.18,6.17,6.83,27.00,27.02,24.41,226.00,2.00,8.00,9.00,40.71,38.36,191.00,1.00,4.00,12.00,14.76,12.84,116.00,1.00,4.00,6.00,47.51,44.90,214.00,1.00,7.00,13.00,2.96,2.36,58.00,7.00,7.00,0.00,0,휴식 (Relax)
-41.75,-37.19,-27.69,-79.44,3.19,290.76,31.45,95.52,52.33,22.52,50.98,49.21,102.00,438.93,72.09,81.38,54.34,92.48,30.42,52.22,21.00,154.23,14.02,77.56,33.24,28.84,35.57,5.07,49.00,524.74,36.22,151.96,71.42,88.95,64.61,70.32,127.00,9.90,11.83,9.05,18.36,4.18,6.17,6.83,27.00,29.06,27.16,201.00,1.00,7.00,8.00,41.44,39.56,200.00,1.00,5.00,12.00,16.40,14.85,110.00,1.00,4.00,5.00,50.77,48.26,234.00,1.00,7.00,14.00,2.96,2.36,57.00,7.00,8.00,0.00,0,휴식 (Relax)
