a0,a1,a2,a3,a4,a0_f1,a0_f2,a0_f3,a0_f4,a0_f5,a0_f6,a0_f7,a0_f8,a1_f1,a1_f2,a1_f3,a1_f4,a1_f5,a1_f6,a1_f7,a1_f8,a2_f1,a2_f2,a2_f3,a2_f4,a2_f5,a2_f6,a2_f7,a2_f8,a3_f1,a3_f2,a3_f3,a3_f4,a3_f5,a3_f6,a3_f7,a3_f8,a4_f1,a4_f2,a4_f3,a4_f4,a4_f5,a4_f6,a4_f7,a4_f8,a0_rms,a0_mav,a0_wl,a0_zc,a1_rms,a1_mav,a1_wl,a1_zc,a2_rms,a2_mav,a2_wl,a2_zc,a3_rms,a3_mav,a3_wl,a3_zc,a4_rms,a4_mav,a4_wl,a4_zc,label,action_name
3.00,13.06,-7.44,-2.75,-0.44,20.50,27.71,94.46,80.00,13.39,27.71,26.78,48.00,53.22,54.24,92.47,163.53,35.89,14.28,65.34,11.00,21.61,19.81,11.81,18.03,30.69,21.85,17.42,23.00,44.87,14.58,65.02,125.42,33.12,35.20,57.53,22.00,10.71,12.50,8.98,18.36,1.26,19.84,11.96,3.00,12.29,10.75,184.00,6.00,19.14,16.33,330.00,7.00,5.09,4.63,87.00,7.00,14.81,12.38,253.00,7.00,3.10,2.35,61.00,7.00,0,휴식 (Relax)
-11.50,-29.56,3.56,-12.38,-2.12,21.12,33.45,90.98,83.52,11.05,5.74,46.49,24.00,32.87,37.83,90.05,179.07,51.94,27.33,83.60,33.00,21.61,19.81,11.81,18.03,30.69,21.85,17.42,23.00,22.89,23.56,66.46,121.50,43.30,29.95,75.95,0.00,7.10,7.67,4.42,21.26,6.21,19.52,14.54,2.00,12.32,11.06,184.00,6.00,20.48,18.05,341.00,7.00,5.09,4.63,92.00,7.00,15.00,12.55,253.00,7.00,3.08,2.19,60.00,7.00,0,휴식 (Relax)
4.00,-5.50,3.19,10.31,0.25,14.85,25.60,83.70,91.21,16.91,10.61,52.22,16.00,3.60,53.11,121.30,158.64,30.45,9.11,68.38,0.00,18.51,16.34,11.55,20.81,36.43,16.34,20.81,17.00,13.78,34.49,77.34,110.55,33.09,22.47,69.52,11.00,3.97,7.39,8.20,17.20,6.47,15.54,13.97,4.00,12.33,11.00,192.00,7.00,19.45,17.19,341.00,7.00,5.11,4.61,87.00,7.00,14.27,11.77,242.00,7.00,2.68,1.84,56.00,5.00,0,휴식 (Relax)
10.50,26.12,-7.81,8.94,8.69,12.21,13.86,67.77,100.24,31.69,13.86,46.79,40.00,23.32,31.11,108.94,177.37,49.01,31.11,74.25,22.00,18.51,16.34,11.55,20.81,36.43,16.34,20.81,17.00,30.04,26.56,68.89,110.55,40.58,4.56,69.32,33.00,11.06,3.75,5.33,25.08,15.44,6.93,19.98,13.00,12.24,10.44,200.00,7.00,20.53,18.39,352.00,7.00,5.11,4.61,93.00,8.00,14.14,11.69,242.00,7.00,3.49,2.47,63.00,7.00,0,휴식 (Relax)
-21.00,13.06,-12.19,-13.06,-2.31,9.79,8.66,63.75,107.33,38.47,20.91,50.52,48.00,55.91,24.60,131.86,163.53,33.41,24.60,55.27,11.00,28.05,8.73,20.69,27.80,42.23,14.76,10.84,27.00,30.04,26.56,68.89,110.55,40.58,4.56,69.32,33.00,11.06,3.75,5.33,25.08,15.44,6.93,19.98,13.00,12.92,11.12,208.00,7.00,20.29,17.70,341.00,6.00,5.96,5.39,92.00,7.00,14.14,11.69,231.00,7.00,3.49,2.47,72.00,8.00,0,휴식 (Relax)
-11.50,-18.56,-1.81,-31.62,-5.00,29.68,16.34,39.88,120.00,47.53,25.08,34.03,24.00,38.00,7.89,112.67,184.39,53.88,46.00,42.82,33.00,34.00,3.24,22.04,24.60,36.59,18.86,16.70,21.00,52.96,28.44,35.35,128.28,62.71,59.56,41.15,22.00,6.88,8.31,6.01,29.73,19.46,10.15,15.03,8.00,12.95,11.62,216.00,7.00,20.84,18.99,363.00,7.00,5.90,5.34,102.00,7.00,15.50,12.72,242.00,7.00,3.72,2.62,75.00,3.00,0,휴식 (Relax)
-10.00,-46.50,14.50,-8.25,-1.88,53.62,35.69,40.80,101.82,24.92,2.54,55.05,48.00,60.97,58.73,139.02,176.28,51.97,38.19,100.16,32.00,25.01,14.22,30.99,34.79,38.07,29.83,26.62,10.00,74.73,46.67,55.57,110.00,44.46,46.67,53.87,0.00,6.34,10.10,7.99,29.12,17.87,10.10,16.75,10.00,12.81,11.75,208.00,7.00,23.76,21.25,395.00,7.00,6.90,5.94,108.00,7.00,15.31,12.72,253.00,7.00,3.76,2.77,72.00,6.00,0,휴식 (Relax)
13.50,8.19,13.12,33.69,0.50,46.53,33.45,32.82,107.63,26.81,5.74,63.05,56.00,71.75,66.41,149.69,165.30,41.38,27.19,89.21,21.00,25.20,33.46,50.14,34.79,16.40,22.37,18.07,32.00,43.86,47.33,42.24,132.46,63.30,65.53,85.38,33.00,9.81,13.49,11.14,23.41,17.12,6.79,13.81,4.00,13.18,12.19,200.00,7.00,23.37,20.56,405.00,7.00,7.44,6.03,103.00,7.00,17.60,14.52,264.00,7.00,3.41,2.44,63.00,5.00,0,휴식 (Relax)
18.50,26.75,1.75,8.94,3.00,41.59,72.64,44.53,83.52,21.19,44.93,26.50,8.00,21.26,84.15,151.06,177.34,66.03,41.22,48.33,34.00,29.98,36.59,50.49,29.15,20.62,18.14,15.95,26.00,36.99,89.44,83.87,108.34,30.45,21.69,42.45,11.00,3.07,15.59,15.91,22.00,10.45,4.11,16.38,4.00,12.24,11.12,176.00,6.00,23.51,20.47,405.00,7.00,7.39,5.78,108.00,6.00,15.66,13.06,242.00,6.00,3.30,2.25,61.00,2.00,0,휴식 (Relax)
-5.00,35.00,-13.25,-1.38,2.81,35.79,65.35,37.52,91.21,25.31,51.39,27.70,0.00,40.66,127.93,194.49,137.35,34.74,12.54,69.08,10.00,14.60,42.28,64.92,38.18,22.23,2.91,15.17,10.00,29.80,80.42,77.97,118.47,38.72,17.55,34.84,22.00,2.06,18.51,18.64,19.00,13.26,5.61,14.02,1.00,12.29,11.38,192.00,7.00,25.14,21.75,394.00,6.00,8.13,6.81,113.00,6.00,15.50,12.55,253.00,7.00,3.38,2.51,58.00,6.00,0,휴식 (Relax)
