a0,a1,a2,a3,a4,a0_f1,a0_f2,a0_f3,a0_f4,a0_f5,a0_f6,a0_f7,a0_f8,a1_f1,a1_f2,a1_f3,a1_f4,a1_f5,a1_f6,a1_f7,a1_f8,a2_f1,a2_f2,a2_f3,a2_f4,a2_f5,a2_f6,a2_f7,a2_f8,a3_f1,a3_f2,a3_f3,a3_f4,a3_f5,a3_f6,a3_f7,a3_f8,a4_f1,a4_f2,a4_f3,a4_f4,a4_f5,a4_f6,a4_f7,a4_f8,label,action_name
336.00,594.00,156.00,616.00,33.00,27.56,34.10,79.15,56.00,42.84,39.05,10.01,8.00,54.20,85.31,141.65,176.88,33.38,36.11,29.67,65.00,18.28,28.38,67.64,43.42,24.49,10.99,8.45,11.00,91.48,150.86,238.97,268.79,26.14,21.26,16.26,32.00,11.32,17.70,22.87,42.43,1.50,11.25,10.70,8.00,0,휴식 (Relax)
320.00,561.00,135.00,551.00,26.00,27.56,34.10,79.15,56.00,42.84,39.05,10.01,8.00,31.71,56.17,108.65,206.25,64.15,57.00,60.94,32.00,20.70,15.30,53.77,59.03,28.65,22.36,20.39,5.00,31.72,91.57,187.60,317.06,89.90,78.21,72.41,33.00,4.40,8.40,20.41,44.94,8.60,21.20,4.28,18.00,0,휴식 (Relax)
320.00,561.00,130.00,540.00,33.00,30.02,28.38,76.20,56.57,49.21,31.41,9.30,0.00,38.87,71.53,101.78,189.72,78.85,8.77,11.48,87.00,34.03,22.33,58.62,58.14,39.40,9.25,5.39,10.00,77.89,110.61,233.36,272.33,105.83,45.75,20.48,54.00,5.51,9.13,26.02,39.40,8.72,17.11,5.70,12.00,0,휴식 (Relax)
312.00,594.00,156.00,627.00,39.00,36.35,30.12,82.38,48.66,42.74,35.62,7.10,8.00,38.87,71.53,101.78,189.72,78.85,8.77,11.48,87.00,18.05,6.36,42.66,74.11,53.70,18.75,11.10,26.00,33.92,67.43,192.25,313.21,149.03,88.57,63.86,98.00,7.76,2.97,21.67,43.27,16.72,19.98,11.60,4.00,0,휴식 (Relax)
320.00,616.00,145.00,627.00,33.00,20.88,17.00,68.96,53.67,49.71,37.08,16.54,24.00,69.30,46.35,81.51,189.89,94.23,56.35,62.26,22.00,10.04,7.86,40.74,75.31,54.63,9.49,2.59,16.00,67.91,52.13,216.26,294.21,157.97,57.20,40.56,1.00,14.57,4.76,26.94,37.64,15.39,13.24,8.78,11.00,0,휴식 (Relax)
320.00,572.00,140.00,561.00,24.00,4.96,1.37,74.45,40.00,34.22,46.63,13.15,8.00,80.12,55.90,91.93,179.07,83.49,49.40,53.31,33.00,9.92,12.85,45.26,70.41,49.75,11.70,5.48,21.00,67.91,52.13,216.26,294.21,157.97,57.20,40.56,1.00,6.13,8.17,19.83,43.93,24.01,6.42,14.44,20.00,0,휴식 (Relax)
320.00,551.00,140.00,551.00,28.00,4.96,1.37,74.45,40.00,34.22,46.63,13.15,8.00,30.09,17.47,70.67,196.33,91.85,79.63,54.81,87.00,9.61,9.92,38.06,73.39,44.27,15.02,15.08,32.00,41.21,56.99,206.22,301.10,147.91,34.96,39.24,77.00,8.94,19.04,26.13,37.59,19.74,10.93,4.43,9.00,0,휴식 (Relax)
312.00,583.00,135.00,594.00,39.00,27.03,24.99,70.39,25.30,17.00,34.17,13.01,32.00,38.66,58.15,111.77,158.09,48.02,36.45,32.35,43.00,24.63,29.96,52.46,54.12,33.44,26.98,13.23,11.00,59.71,78.98,227.06,279.66,126.86,12.97,17.39,55.00,1.92,15.28,19.03,44.78,26.90,14.71,4.31,1.00,0,휴식 (Relax)
328.00,616.00,145.00,638.00,39.00,15.75,18.37,55.97,40.79,1.01,44.35,26.72,48.00,22.65,32.64,88.28,193.88,62.69,49.34,51.81,12.00,18.94,22.56,44.07,59.41,23.52,36.84,22.77,1.00,38.67,71.66,179.89,317.10,97.25,89.08,83.87,43.00,9.71,22.81,23.59,41.59,20.66,18.65,8.62,12.00,0,휴식 (Relax)
336.00,605.00,162.00,605.00,28.00,34.61,46.34,36.77,46.65,32.53,12.51,22.10,16.00,59.36,73.44,127.61,167.06,26.04,6.50,46.66,32.00,32.85,36.70,56.91,40.82,44.00,29.95,5.84,28.00,89.85,125.38,224.79,272.20,46.50,58.30,35.31,11.00,9.71,22.81,23.59,41.59,20.66,18.65,8.62,12.00,0,휴식 (Relax)
312.00,561.00,135.00,540.00,28.00,18.70,33.05,26.90,60.93,41.07,13.69,36.56,0.00,45.21,55.68,113.35,186.12,42.16,22.07,63.70,54.00,17.60,20.93,42.08,55.15,45.55,43.98,21.66,44.00,50.84,83.79,171.17,323.49,48.80,116.69,68.13,87.00,11.23,18.55,25.79,41.59,9.36,11.49,7.02,2.00,0,휴식 (Relax)
296.00,572.00,125.00,540.00,33.00,14.61,44.35,5.35,79.20,61.88,18.37,4.94,32.00,52.36,63.43,133.47,172.98,24.86,17.04,31.72,21.00,13.42,26.60,53.67,51.97,72.49,19.04,12.39,13.00,117.64,149.19,228.55,272.55,52.00,45.09,20.11,0.00,11.23,18.55,25.79,41.59,9.36,11.49,7.02,2.00,0,휴식 (Relax)
